gene_id	GBP-24	GBP-25	GBP-22	GBP-23	GPO-1	GPO-2	GPO-3	GPO-4	GBP-9	GBP-10	GBP-11	GBP-12	GBP-5	GBP-6	GBP-20	GBP-21	GBP-3	GBP-4	GBP-7	GBP-8	GBP-16	GBP-17	GBP-18	GBP-19	GPO-36	GPO-37	GPO-30	GPO-31	GPO-32	GPO-33	GPO-34	GPO-35	GPO-160	GPO-161
Ec-00_000160	14.536	18.834	16.486	31.211	28.895	40.103	19.65	51.416	17.321	9.413	12.823	12.667	9.211	5.455	39.07	45.849	19.46	7.761	17.047	19.314	24.222	22.189	40.996	35.001	2.515	2.406	22.229	8.381	22.405	20.965	14.667	12.758	12.082	10.832
Ec-00_000170	2.487	2.64	4.602	5.151	0.918	0.386	0.238	0.931	0.577	0.909	0.485	0.568	1.146	1.141	0.709	0.983	1.016	0.6	0.472	0.921	0.254	0.601	0.713	1.085	0.526	0.808	9.016	9.141	5.6	3.497	6.572	7.916	8.092	9.206
Ec-00_000180	0	0	0.114	0	0	0	0	0	0.59	0	0	0.261	0	0	1.02	0.714	2.337	0.276	5.641	3.672	3.501	2.262	0	0.499	0	0	0	0	0.943	0	0.455	1.445	0.677	1.942
Ec-00_000190	0.804	0.845	1.13	0.692	1.578	2.846	1.604	1.356	2.274	2.721	1.486	1.332	6.143	2.224	2.943	2.454	4.48	2.215	1.977	2.145	3.621	4.118	5.669	5.067	1.763	0.852	0.472	0.566	0.443	0.445	0.321	0.376	3.393	4.767
Ec-00_000200	116.627	112.198	111.02	122.833	144.339	176.658	166.174	209.604	92.661	80.664	93.69	93.16	77.397	132.43	119.12	124.927	103.608	98.701	79.204	96.033	96.148	105.399	149.508	137.257	96.618	84.501	118.685	95.559	125.867	140.853	102.455	119.095	91.083	97.479
Ec-00_000210	52.609	55.224	47.109	46.986	53.692	69.459	58.742	52.971	79.293	80.17	109.755	84.463	67.007	72.732	59.313	61.536	79.803	43.625	97	100.88	42.595	40.82	53.334	52.306	76.116	75.865	50.075	57.506	54.356	53.497	63.803	59.417	127.319	133.144
Ec-00_000230	140.349	133.421	162.458	123.903	85.945	77.017	167.502	41.269	43.784	95.497	102.439	81.666	63.931	117.1	8.126	6.523	54.047	152.423	44.844	75.456	17.601	20.478	26.178	21.764	13.895	13.528	163.469	129.56	80.494	72.736	106.29	125.46	143.339	152.982
Ec-00_000240	0	0	0	0	0	0	0	0	0	0.05	20.19	13.715	25.291	24.829	20.567	20.947	16.743	14.304	7.62	12.186	13.309	14.882	21.594	22.802	6.128	6.982	12.225	18.376	15.662	17.678	7.796	7.977	12.25	13.276
Ec-00_000250	0.163	0.31	0.427	0.136	3.85	5.639	2.043	1.864	1.321	0.223	0.475	0.585	0.262	0	0	0.355	0.291	0	0	0	0	0	2.653	1.118	0	0	2.653	0.243	0	0	0	0	1.212	0.906
Ec-00_000260	0.273	0.065	0.143	0.114	3.229	1.391	1.371	1.117	1.478	0.187	0.598	0.327	0.22	0	0	0	0	0	0	0	0	0	1.027	0.469	0.216	0	0.742	0	0	0	0.142	0	0.254	0.76
